n_candidates,k_lookback,mean_sharpe,std_sharpe,n_folds,selected
10,12,0.4168346970864041,0.6337305876828921,29,False
10,6,0.4001614083510315,0.6781474402112457,29,False
10,9,0.38164061158336754,0.6385599376166836,29,False
5,12,0.3331869532478744,0.6702570936922209,29,False
9,12,0.32700134081816384,0.6460348415410715,29,False
6,6,0.3237424054220638,0.7341704118655558,29,False
9,6,0.3173278443166419,0.6655194222929779,29,False
6,12,0.31067073737834283,0.6508161359460302,29,False
9,9,0.30794587396528667,0.6297012489503466,29,False
8,12,0.2989815705405368,0.6372577010701719,29,False
3,6,0.29786200413635383,0.7519049760123213,29,False
8,6,0.29651054484233635,0.6635879119176645,29,False
8,9,0.2935388589144032,0.6531449122834087,29,False
5,9,0.2903149590357648,0.6695066155227152,29,False
10,2,0.28907929630344303,0.6614370176772674,29,False
7,6,0.2871704015366415,0.6984895375799947,29,False
3,9,0.2823178058885105,0.7488344098991222,29,False
5,6,0.2806805817329132,0.7597451447635905,29,False
7,12,0.2794641264524648,0.6329738887721363,29,False
10,1,0.2725399679714235,0.6952909316799485,29,False
3,12,0.27230281167285597,0.7428496601695361,29,False
6,9,0.25859859068873736,0.6732541212136844,29,False
3,3,0.25678061654691653,0.7964336237033905,29,False
4,12,0.2529000298902956,0.707101744597449,29,False
7,9,0.24900016180607226,0.6661146784458967,29,False
8,1,0.2333551369586658,0.7008006411289242,29,False
3,2,0.22798235265931407,0.8018492643733173,29,False
9,1,0.22235089194767574,0.6969424854408353,29,False
9,2,0.215087320310128,0.6290900493368458,29,False
3,1,0.20175986856380337,0.7361744046656528,29,False
10,3,0.19591750915008277,0.7372063968147448,29,False
8,3,0.19524170404239588,0.7127309702066482,29,False
4,9,0.19039415704743184,0.7637876446670028,29,False
8,2,0.1753378475695144,0.6072660890411772,29,False
4,6,0.16658793939650357,0.7568112379956016,29,False
4,1,0.15770876412437906,0.9001439842371727,29,False
9,3,0.15680082116877028,0.7346136725830815,29,False
7,2,0.13146462429693162,0.7122730739325532,29,False
7,3,0.12908009489382655,0.813168303588932,29,False
5,1,0.12077405751661562,0.9485693749104172,29,False
5,2,0.11895336722261218,0.8294627203076659,29,False
4,3,0.10290563806423485,0.9282100697439587,29,False
7,1,0.08332955263536138,0.8200267424050587,29,False
5,3,0.08126200310703344,0.9199532477886969,29,False
6,1,0.07098594542334966,0.9301007829271762,29,False
4,2,0.057879284350905565,0.9195638067018236,29,False
6,3,0.04916914340345966,0.8590678744539111,29,False
6,2,0.03592144582574212,0.7955031102323854,29,False
